Class,precision,recall,f1-score,support
Benign,0.9995944462999189,0.9985605818680978,0.9990772466183592,209807
Bot,0.86875,0.7554347826086957,0.8081395348837209,184
BruteForce,1.0,1.0,1.0,1330
DDoS,0.9997915363769022,0.9995310790392331,0.9996612907428154,19193
DoS,0.9985567953817452,0.9990843135873776,0.9988204848335476,28394
Other,1.0,0.7142857142857143,0.8333333333333334,7
PortScan,0.990990990990991,0.990990990990991,0.990990990990991,222
WebAttack,0.5561797752808989,0.9867109634551495,0.7113772455089821,301
