Class,F1_Baseline,F1_SMOTE,Delta_F1
Benign,0.9989982254279008,0.9990772466183592,7.902119045832823e-05
Bot,0.7567567567567568,0.8081395348837209,0.051382778126964124
BruteForce,1.0,1.0,0.0
DDoS,0.9997655456274259,0.9996612907428154,-0.00010425488461052179
DoS,0.9987502860260856,0.9988204848335476,7.019880746195195e-05
Other,0.8333333333333334,0.8333333333333334,0.0
PortScan,0.9822222222222222,0.990990990990991,0.008768768768768753
WebAttack,0.7246022031823746,0.7113772455089821,-0.01322495767339249
