Class,precision,recall,f1-score,support
Benign,0.9998519926091793,0.9981459150552651,0.9989982254279008,209807
Bot,0.6127946127946128,0.9891304347826086,0.7567567567567568,184
BruteForce,1.0,1.0,1.0,1330
DDoS,0.9997395019276857,0.9997915906841036,0.9997655456274259,19193
DoS,0.9983109891269925,0.999189969711911,0.9987502860260856,28394
Other,1.0,0.7142857142857143,0.8333333333333334,7
PortScan,0.9692982456140351,0.9954954954954955,0.9822222222222222,222
WebAttack,0.5736434108527132,0.9833887043189369,0.7246022031823746,301
