,Macro F1,Std,Weighted F1,Accuracy,Train Time (s),Macro F1 (±std)
RF Baseline,0.8750720012905095,0.023749557810911145,0.9979353710915744,0.9976033923814708,220.02535891532898,0.8751 ± 0.0237
LGB Baseline,0.621066788093392,0.06732913354870981,0.9833491028959154,0.9750376231505642,129.04946327209473,0.6211 ± 0.0673
MLP Baseline,0.8113177268774964,0.017969134532617604,0.9953854914159747,0.9958767776644739,1814.7427027225494,0.8113 ± 0.0180
RF SMOTE,0.8882164268836498,0.011006940440612605,0.997771556511662,0.9973514222267628,3275.015954732895,0.8882 ± 0.0110
LGB SMOTE,0.683445616476188,0.03370706872412909,0.990183042536352,0.9883490748208044,3067.7653670310974,0.6834 ± 0.0337
MLP SMOTE,0.8302719115890203,0.03514571202170267,0.9949043788227725,0.9944450914995793,5258.00686788559,0.8303 ± 0.0351
