Class,F1_Baseline,F1_SMOTE,Delta_F1
Benign,0.5765943795714102,0.8783629582545165,0.30176857868310625
Bot,0.011368691611882755,0.0,-0.011368691611882755
BruteForce,0.0,0.07886252789947922,0.07886252789947922
DDoS,0.533538395121688,0.4121253618001307,-0.12141303332155728
DoS,0.5418231337432426,0.7659195893926433,0.22409645564940062
Other,0.0003004356316659156,0.0,-0.0003004356316659156
PortScan,0.01008274984086569,0.0003447285262855501,-0.00973802131458014
WebAttack,0.0036895064686152373,0.0,-0.0036895064686152373
