Class,precision,recall,f1-score,support
Benign,0.9964130217314673,0.9969781751800464,0.9966955183414218,209807
Bot,0.9826086956521739,0.6141304347826086,0.7558528428093646,184
BruteForce,0.9821826280623608,0.9947368421052631,0.9884198729921554,1330
DDoS,0.9900759807722127,0.998020111498984,0.9940321743642968,19193
DoS,0.9845975721002035,0.9883426075931535,0.9864665354330708,28394
Other,0.8,0.5714285714285714,0.6666666666666666,7
PortScan,1.0,0.8018018018018018,0.89,222
WebAttack,1.0,0.059800664451827246,0.11285266457680251,301
