Class,F1_Baseline,F1_SMOTE,Delta_F1
Benign,0.9966004626420146,0.9966955183414218,9.505569940715386e-05
Bot,0.7609427609427609,0.7558528428093646,-0.005089918133396321
BruteForce,0.992108229988726,0.9884198729921554,-0.003688356996570663
DDoS,0.9917440927560237,0.9940321743642968,0.002288081608273096
DoS,0.9871153981553193,0.9864665354330708,-0.000648862722248511
Other,0.0,0.6666666666666666,0.6666666666666666
PortScan,0.8787878787878788,0.89,0.011212121212121229
WebAttack,0.0,0.11285266457680251,0.11285266457680251
