Epoch,accuracy,loss,val_accuracy,val_loss
0,0.979084849357605,0.06869947910308838,0.9870489239692688,0.03580790385603905
1,0.9849619269371033,0.04372153431177139,0.9883787035942078,0.03129810467362404
2,0.9859623908996582,0.04092755913734436,0.988868236541748,0.02777421474456787
3,0.9869933724403381,0.03903786465525627,0.9913428425788879,0.026083601638674736
4,0.9879574775695801,0.03627878054976463,0.989404022693634,0.026139121502637863
5,0.9885043501853943,0.03458525612950325,0.9912387728691101,0.024732591584324837
6,0.9887935519218445,0.034664303064346313,0.991894006729126,0.0238293819129467
7,0.9891240000724792,0.03353766351938248,0.9917475581169128,0.022420471534132957
8,0.989352822303772,0.03307710215449333,0.9912657141685486,0.022406164556741714
9,0.9894056916236877,0.033625610172748566,0.9920289516448975,0.02175985835492611
10,0.989395797252655,0.0332232266664505,0.9921330213546753,0.02203366532921791
11,0.9895304441452026,0.03369661420583725,0.991974949836731,0.02165774628520012
12,0.9897881746292114,0.03379877284169197,0.991820752620697,0.02216741070151329
13,0.989900529384613,0.031861066818237305,0.9923334121704102,0.0211498886346817
14,0.9898625612258911,0.031566791236400604,0.9918400645256042,0.021708406507968903
15,0.9898964166641235,0.039742812514305115,0.9922370910644531,0.021560179069638252
16,0.9900830984115601,0.0355214923620224,0.9906567335128784,0.02479027770459652
17,0.9900864362716675,0.03197944164276123,0.9922370910644531,0.0214245468378067
18,0.9900344014167786,0.032423991709947586,0.9919518232345581,0.021120138466358185
19,0.9902351498603821,0.03205905854701996,0.9920135140419006,0.02100110985338688
20,0.9900806546211243,0.05252480506896973,0.9926071166992188,0.020709704607725143
21,0.9902458786964417,0.03649698942899704,0.9916473031044006,0.02132483385503292
22,0.9901368021965027,0.03402957320213318,0.9921445846557617,0.020725956186652184
23,0.9901847243309021,0.03711108863353729,0.9922024011611938,0.021649429574608803
24,0.990236759185791,0.05215298384428024,0.9915355443954468,0.021517438814044
25,0.9901748299598694,0.03442121297121048,0.9915972352027893,0.020835282281041145
26,0.9903177618980408,0.03278849646449089,0.992260217666626,0.02047577314078808
27,0.9903053641319275,0.032243385910987854,0.9928537607192993,0.021368760615587234
28,0.9903920888900757,0.033020514994859695,0.992348849773407,0.019963806495070457
29,0.9904416799545288,0.036776408553123474,0.9924027919769287,0.020295362919569016
30,0.9903069734573364,0.032702185213565826,0.9922717809677124,0.020266586914658546
31,0.990390419960022,0.03176327049732208,0.9922100901603699,0.020458947867155075
32,0.9902995824813843,0.038465023040771484,0.9921830892562866,0.021147344261407852
33,0.9903920888900757,0.03353477641940117,0.9924837350845337,0.021281611174345016
34,0.9905903339385986,0.033710308372974396,0.9916781783103943,0.02127867005765438
35,0.990455687046051,0.034409478306770325,0.9926841855049133,0.021456075832247734
36,0.9905482530593872,0.03139607235789299,0.9928615093231201,0.021138371899724007
37,0.9905226230621338,0.058928199112415314,0.9926263689994812,0.020214026793837547
38,0.9906482100486755,0.037086546421051025,0.9929308891296387,0.020100662484765053
39,0.9908555746078491,0.04084305092692375,0.9908648729324341,0.02096247300505638
40,0.9908778667449951,0.05058688670396805,0.9933086037635803,0.018895642831921577
41,0.9909563660621643,0.031060650944709778,0.9927959442138672,0.01998942159116268
42,0.9908539056777954,0.030691076070070267,0.9932469129562378,0.01884213648736477
43,0.9908993244171143,0.03477994352579117,0.9926186800003052,0.02018757164478302
44,0.9909042716026306,0.03544570878148079,0.9933972954750061,0.018959729000926018
45,0.9907374382019043,0.032780345529317856,0.9932777881622314,0.019494522362947464
46,0.9907811880111694,0.032347679138183594,0.9944456815719604,0.018056649714708328
47,0.9910951256752014,0.03383545204997063,0.9939098954200745,0.019310759380459785
48,0.9909505844116211,0.060065899044275284,0.9945381879806519,0.01948610320687294
49,0.9910397529602051,0.04100020229816437,0.9943608641624451,0.01799706369638443
50,0.9912479519844055,0.03163162246346474,0.9938520789146423,0.019543778151273727
51,0.9908241629600525,0.033614855259656906,0.9937171936035156,0.020323937758803368
52,0.9910298585891724,0.04734380915760994,0.9929771423339844,0.018511027097702026
53,0.9912000298500061,0.03419451043009758,0.9928306341171265,0.018190942704677582
54,0.9909555315971375,0.03964698314666748,0.9935129284858704,0.01861610822379589
55,0.9909769892692566,0.03762583062052727,0.993963897228241,0.01874743588268757
56,0.9910810589790344,0.03352953493595123,0.9944803714752197,0.018282340839505196
57,0.9909241199493408,0.041038088500499725,0.9936208128929138,0.01841820403933525
58,0.9912355542182922,0.03365570306777954,0.9933510422706604,0.018555982038378716
59,0.9911777377128601,0.036679383367300034,0.9939523339271545,0.019298415631055832
60,0.9911752343177795,0.03310910612344742,0.9926071166992188,0.02138296514749527
61,0.9912397265434265,0.034076180309057236,0.9928499460220337,0.019169894978404045
62,0.9911248683929443,0.03292391821742058,0.9931043386459351,0.021007299423217773
63,0.9909200072288513,0.03618455305695534,0.9935668706893921,0.020755775272846222
64,0.9911273717880249,0.05132230371236801,0.9933240413665771,0.02128344029188156
