Class,precision,recall,f1-score,support
Benign,0.8818109564039917,0.42833651880061197,0.5765943795714102,209807
Bot,0.005736519179927171,0.625,0.011368691611882755,184
BruteForce,0.0,0.0,0.0,1330
DDoS,0.5533046057417874,0.5151357265669776,0.533538395121688,19193
DoS,0.6541450777202072,0.46242163837430444,0.5418231337432426,28394
Other,0.0001502968362515969,0.2857142857142857,0.0003004356316659156,7
PortScan,0.0050700330320333905,0.8918918918918919,0.01008274984086569,222
WebAttack,0.001858152947706267,0.2558139534883721,0.0036895064686152373,301
